,MoSD2,MoSD2en,MoSD3,MoSD1,GEO1,workspace_id,date,MoSDGPS_SQ002,MoSDGPS_SQ001,CONDB
390,Al waleed health center / مركز صحي الوليد,Al waleed health center,Primary Health Care Center - Branch,HF_CS_ABB_135,Anbar Health Department / Rutba sector for primary health care,Rutba sector for primary health care / قطاع الرطبة  للرعاية الصحية الاولية,2022-07-26 07:34:50,38.9696975,33.4155935,Not relevant: (e.g mobile clinic)
529,Al Dare Section TB Center / قطاع الدير للرعاية الصحية الاولية, Al Dare Section TB Center,Chest and Respiratory Diseases Unit,HS_HM_SS_BSS_4,Basra Health Department / Al-Dair sector for primary health care ,Al-Dair sector for primary health care / قطاع الدير للرعاية الصحية الاولية,2022-08-15 07:34:51,47.56856,30.810546,Not relevant: (e.g mobile clinic)
530,alhakeem / بيت الحكيم الصحي,alhakeem,Health House,HF_HH_BSS_1,Basra Health Department / Zubair Primary Health Care Sector ,Zubair Primary Health Care Sector / قطاع الزبير للرعاية الصحية الأولية,2022-08-25 07:34:51,47.707494,30.381338,Not relevant: (e.g mobile clinic)
531,alsada albatat / بيت صحي السادة البطاط,alsada albatat,Health House,HF_HH_BSS_7,Basra Health Department / Zubair Primary Health Care Sector ,Zubair Primary Health Care Sector / قطاع الزبير للرعاية الصحية الأولية,2022-08-25 07:34:51,47.676712,30.400609,Not relevant: (e.g mobile clinic)
538,safwan border port / مركز صحي المنفذ الحدودي / سفوان,safwan border port,Primary Health Care Center - Branch,HF_CS_BSS_98,Basra Health Department / Zubair Primary Health Care Sector ,Zubair Primary Health Care Sector / قطاع الزبير للرعاية الصحية الأولية,2022-08-28 07:34:51,47.715,30.102572,Not relevant: (e.g mobile clinic)
685,Oncology specialist center / مركز تخصصي الأورام,Oncology specialist center,Specialized Center,HT_CS_DIW_13,Diwaniyah Health Department / Diwaniyah Health Department ,Diwaniyah Health Department / دائرة صحة الديوانية,2022-08-13 07:34:51,44.914511,32.008537,Not relevant: (e.g mobile clinic)
780,The healthy house in raddad  / البيت الصحي في آل رداد,The healthy house in raddad ,Health House,HF_HH_DIW_37,Diwaniyah Health Department / Shamiya Primary Health Care Sector ,Shamiya Primary Health Care Sector / قطاع الشامية للرعاية الصحية الاولية,2022-08-17 07:34:51,44.6411,31.8218,Not relevant: (e.g mobile clinic)
783,The healthy house in nadiba  / البيت الصحي في انديبة,The healthy house in nadiba ,Health House,HF_HH_DIW_35,Diwaniyah Health Department / Shamiya Primary Health Care Sector ,Shamiya Primary Health Care Sector / قطاع الشامية للرعاية الصحية الاولية,2022-08-18 07:34:51,44.517379,31.965307,Not relevant: (e.g mobile clinic)
785,The healthy home in sakan / البيت الصحي في ساكان,The healthy home in sakan,Health House,HF_HH_DIW_42,Diwaniyah Health Department / Shamiya Primary Health Care Sector ,Shamiya Primary Health Care Sector / قطاع الشامية للرعاية الصحية الاولية,2022-08-10 07:34:51,44.50603,32.0062,Not relevant: (e.g mobile clinic)
878,Amsieeda house medical  / بيت صحي مسيعيده,Amsieeda house medical ,Health House,HF_HH_MNN_3,Muthanna Health Department / Al-Rumaitha Primary Health Care Sector ,Al-Rumaitha Primary Health Care Sector / قطاع الرميثة للرعاية الصحية الاولية,2022-08-02 07:34:51,45.212193,31.522951,Not relevant: (e.g mobile clinic)
