,MoSD2,MoSD2en,MoSD3,MoSD1,GEO1,workspace_id,date,MoSDGPS_SQ002,MoSDGPS_SQ001
114,Immediate Aid Division / شعبة الاسعاف الفوري,Immediate Aid Division,Immediate First Aid Center,SH_HO_ABB_026,Anbar Health Department / Anbar Health Department ,Anbar Health Department / دائرة صحة الانبار,2022-08-02 07:34:50,43.29719,33.42401
424,Psychological and Social Support Center / مركز الاسناد النفسي والاجتماعي,Psychological and Social Support Center,Specialized Center,HT_CS_BSS_2,Basra Health Department / Basra Health Department ,Basra Health Department / دائرة صحة البصرة,2022-08-11 07:34:50,47.803814,30.490407
429,First Specialized Dental Center / مركز ا التخصصي الاول لطب الاسنان الشهيد حيدر البعاج للاسنان,First Specialized Dental Center,Specialized Center,HT_CS_BSS_6,Basra Health Department / Basra Health Department ,Basra Health Department / دائرة صحة البصرة,2022-08-10 07:34:50,47.803617,30.492738
440,Specialized Oncology Center / مركز التخصصي لعلاج الأورام,Specialized Oncology Center,Specialized Center,HT_CS_BSS_4,Basra Health Department / Basra Health Department ,Basra Health Department / دائرة صحة البصرة,2022-08-28 07:34:50,47.849642,30.507775
443,Endocrinology and Diabetes Center / مركز الغدد الصم وداء السكري / مستشفى الفيحاء التعليمي,Endocrinology and Diabetes Center,Specialized Center,HT_CS_BSS_8,Basra Health Department / Basra Health Department ,Basra Health Department / دائرة صحة البصرة,2022-09-04 07:34:50,47.78377,30.534095
445,Immediate Aid Division / شعبة الاسعاف الفوري,Immediate Aid Division,Immediate First Aid Center,HS_AA_BSS_3,Basra Health Department / Basra Health Department ,Basra Health Department / دائرة صحة البصرة,2022-08-28 07:34:50,47.783359,30.550989
454,Al-Sadr Teaching Hospital / مستشفى الصدر التعليمي,Al-Sadr Teaching Hospital,Hospital,SH_HO_BSS_8,Basra Health Department / Basra Health Department ,Basra Health Department / دائرة صحة البصرة,2022-09-04 07:34:50,47.850947,30.507129
460,Gastroenterology and Liver Hospital / مستشفى الجهاز الهضمي والكبد,Gastroenterology and Liver Hospital,Hospital,SH_HO_BSS_20,Basra Health Department / Basra Health Department ,Basra Health Department / دائرة صحة البصرة,2022-08-31 07:34:50,47.783893,30.531853
462,major blood bank / مصرف دم رئيسي,major blood bank,Blood Bank Center -Main,HS_BF_BSS_1,Basra Health Department / Basra Health Department ,Basra Health Department / دائرة صحة البصرة,2022-08-15 07:34:50,47.807927,30.493798
554,Chest and Respiratory Diseases Unit / قطاع الزبير للرعاية الصحية الأولية,Chest and Respiratory Diseases Unit,Chest and Respiratory Diseases Unit,HS_HM_SS_BSS_5,Basra Health Department / Zubair Primary Health Care Sector ,Zubair Primary Health Care Sector / قطاع الزبير للرعاية الصحية الأولية,2022-08-29 07:34:51,47.710789,30.400057
646,Chest and Respiratory Diseases Unit / قطاع شط العرب للرعاية الصحية الأولية\ وحدة الأمراض الصدرية والتنفسية,Chest and Respiratory Diseases Unit,Chest and Respiratory Diseases Unit,HS_HM_SS_BSS_10,Basra Health Department / Shatt Al Arab Primary Health Care Sector ,Shatt Al Arab Primary Health Care Sector / قطاع شط العرب للرعاية الصحية الأولية,2022-07-20 07:34:51,47.855384,30.53106
663,Central Health Laboratory / مختبر الصحة المركزي,Central Health Laboratory,Central Public Health Laboratory,HM_CC_DIW_8,Diwaniyah Health Department / Diwaniyah Health Department ,Diwaniyah Health Department / دائرة صحة الديوانية,2022-08-16 07:34:51,44.915039,32.005843
666,First Specialized Dental Center / المركز التخصصي لطب الأسنان الاول,First Specialized Dental Center,Specialized Center,HT_CS_DIW_6,Diwaniyah Health Department / Diwaniyah Health Department ,Diwaniyah Health Department / دائرة صحة الديوانية,2022-08-15 07:34:51,44.917688,31.98764
669,Endocrinology and Diabetes Center / مركزامراض الغدد الصم والسكري,Endocrinology and Diabetes Center,Specialized Center,HT_CS_DIW_11,Diwaniyah Health Department / Diwaniyah Health Department ,Diwaniyah Health Department / دائرة صحة الديوانية,2022-08-12 07:34:51,44.914304,32.006854
675,Immediate Aid Division / شعبة الاسعاف الفوري,Immediate Aid Division,Immediate First Aid Center,HM_CC_DIW_4,Diwaniyah Health Department / Diwaniyah Health Department ,Diwaniyah Health Department / دائرة صحة الديوانية,2022-11-01 07:34:51,44.905841,31.989242
845,Specialized center  / المركز التخصصي لصناعة الاطراف,Specialized center ,Specialized Center,HT_CS_MNN_6,Muthanna Health Department / Muthanna Health Department,Muthanna Health Department / دائرة صحة المثنى,2022-07-10 07:34:51,45.118926,31.428284
852,hospital / مستشفى الامراض الانتقالية,hospital,Hospital,SH_HO_MNN_6,Muthanna Health Department / Muthanna Health Department,Muthanna Health Department / دائرة صحة المثنى,2022-07-10 07:34:51,45.268203,31.305572
957,Third People's Medical Clinic / العيادة الطبية الشعبية الثالثة,Third People's Medical Clinic,Public Health Clinic,HS_ED_NJJ_4,Najaf Health Department / Najaf Health Department ,Najaf Health Department / دائرة صحة النجف,2022-09-07 07:34:51,44.354796,31.987413
958,The first popular medical clinic / العيادة الطبية الشعبية الاولى,The first popular medical clinic,Public Health Clinic,HS_ED_NJJ_2,Najaf Health Department / Najaf Health Department ,Najaf Health Department / دائرة صحة النجف,2022-08-18 07:34:51,44.321755,31.992737
962,The second popular medical clinic / العيادة الطبية الشعبية الثانية,The second popular medical clinic,Public Health Clinic,HS_ED_NJJ_6,Najaf Health Department / Najaf Health Department ,Najaf Health Department / دائرة صحة النجف,2022-08-28 07:34:51,44.404116,32.030712
965,Fourth People's Medical Clinic / العيادة الطبية الشعبية الرابعة,Fourth People's Medical Clinic,Public Health Clinic,HS_ED_NJJ_10,Najaf Health Department / Najaf Health Department ,Najaf Health Department / دائرة صحة النجف,2022-09-07 07:34:51,44.333671,32.04531
996,major blood bank / مصرف دم رئيسي,major blood bank,Blood Bank Center -Main,HM_CC_NJJ_3,Najaf Health Department / Najaf Health Department ,Najaf Health Department / دائرة صحة النجف,2022-08-10 07:34:51,44.364228,32.041463
1002,Psychological and Social Support Center / مركز الاسناد النفسي والاجتماعي,Psychological and Social Support Center,Specialized Center,HT_HO_NJJ_10,Najaf Health Department / Najaf Health Department ,Najaf Health Department / دائرة صحة النجف,2022-07-25 07:34:51,44.346673,32.007986
1003,Central Health Laboratory / مختبر الصحة المركزي,Central Health Laboratory,Central Public Health Laboratory,HT_CS_NJJ_17,Najaf Health Department / Najaf Health Department ,Najaf Health Department / دائرة صحة النجف,2022-08-10 07:34:51,44.344253,32.006859
1109,Al Noor Health Center / مركز صحي النور,Al Noor Health Center,Primary Health Care Center - Main,HF_CM_NJJ_62,Najaf Health Department / Southern Najaf Health Care First Sector ,Southern Najaf Health Care First Sector / قطاع النجف الجنوبي للرعاية الصحية الاول,2022-07-27 07:34:51,44.260893,31.934161
1366,Mobile team / مفرزة طبية محكمة استئناف بابل,Mobile team,Mobile Team,HF_CS_BBL_120,Babylon Health Department / Babylon Health Department ,Second Sector for Primary health care / قطاع المركز الثاني للرعاية الصحية الاولية,2022-07-25 07:34:51,44.438055,32.5275
1367,Mobile team / المفروض الطبية في سجن النساء,Mobile team,Mobile Team,HS HM SS BBL  13,Babylon Health Department / Babylon Health Department ,Second Sector for Primary health care / قطاع المركز الثاني للرعاية الصحية الاولية,2022-08-25 07:34:51,44.55,32.4680555
1691,Health house  / الجهاد / قطاع العامل,Health house ,Health House,HF_HH_KHH_6,Baghdad Health Department  Alkharkh / Al-Amel Primary Health Care Sector (formerly Al-Rasheed) ,Al-Amel Primary Health Care Sector (formerly Al-Rasheed) / قطاع العامل للرعاية الصحية الأولية (الرشيد سابقاً),2022-09-05 07:34:52,44.348951,33.228504
1718,Chest and Respiratory Diseases Unit / وحدة التدرن (الأمراض الصدرية والتنفسية),Chest and Respiratory Diseases Unit,Chest and Respiratory Diseases Unit,HF_CM_KHH_127,Baghdad Health Department  Alkharkh / Alaadel sector for primary health care ,Alaadel sector for primary health care / قطاع العدل للرعاية الصحية الأولية,2022-07-27 07:34:52,44.261394,33.348331
1761,Alsalam center health / مركز صحي السلام,Alsalam center health,Primary Health Care Center - Main,HF_CM_KHH_49,Baghdad Health Department  Alkharkh / Karkh Primary Health Care Sector ,Karkh Primary Health Care Sector / قطاع الكرخ للرعاية الصحية الأولية,2022-08-14 07:34:52,44.341276,33.349279
1834,Chest Diseases Consulting Clinic / العيادة الاستشارية للآمراض الصدرية,Chest Diseases Consulting Clinic,Specialized Center,HT_CS_DLL_1,Diyala Health Department / Diyala Health Department,Diyala Health Department / دائرة صحة ديالى,2022-08-03 07:34:52,44.649284,33.746681
1836,Hematology Center / مركز امراض الدم,Hematology Center,Specialized Center,HT_CS_DLL_5,Diyala Health Department / Diyala Health Department,Diyala Health Department / دائرة صحة ديالى,2022-08-01 07:34:52,44.617852,33.748328
1837,First Specialized Dental Center / المركز التخصصي لطب الاسنان الاول,First Specialized Dental Center,Specialized Center,HT_CS_DLL_2,Diyala Health Department / Diyala Health Department,Diyala Health Department / دائرة صحة ديالى,2022-07-27 07:34:52,44.646831,33.752184
1847,blood bank / مصرف دم رئيسي,blood bank,Blood Bank Center -Main,HM_CC_DLL_7,Diyala Health Department / Diyala Health Department,Diyala Health Department / دائرة صحة ديالى,2022-07-27 07:34:52,44.6178239,33.748359
1938,Health house  / بيت صحي السبتيه,Health house ,Health House,HF_HH_DLL_4,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-16 07:34:52,44.628107,33.749025
1939,Health house  / بيت صحي الكبه,Health house ,Health House,HF_HH_DLL_5,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-16 07:34:52,44.710127,33.891789
1941,Primary care health sactor / مركز صحي بعقوبة الجديدة,Primary care health sactor,Primary Health Care Center - Main,HF_CM_DLL_0,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-10 07:34:52,44.628012,33.749111
1942,Primery care health sector / مركز صحي تل صخيري,Primery care health sector,Primary Health Care Center - Branch,HF_CS_DLL_57,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-01 07:34:52,44.718572,33.527819
