,MoSD2,MoSD2en,MoSD3,MoSD1,GEO1,workspace_id,date,MoSDGPS_SQ002,MoSDGPS_SQ001
1366,Mobile team / مفرزة طبية محكمة استئناف بابل,Mobile team,Mobile Team,HF_CS_BBL_120,Babylon Health Department / Babylon Health Department ,Second Sector for Primary health care / قطاع المركز الثاني للرعاية الصحية الاولية,2022-07-25 07:34:51,44.438055,32.5275
1367,Mobile team / المفروض الطبية في سجن النساء,Mobile team,Mobile Team,HS HM SS BBL  13,Babylon Health Department / Babylon Health Department ,Second Sector for Primary health care / قطاع المركز الثاني للرعاية الصحية الاولية,2022-08-25 07:34:51,44.55,32.4680555
1938,Health house  / بيت صحي السبتيه,Health house ,Health House,HF_HH_DLL_4,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-16 07:34:52,44.628107,33.749025
1939,Health house  / بيت صحي الكبه,Health house ,Health House,HF_HH_DLL_5,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-16 07:34:52,44.710127,33.891789
1941,Primary care health sactor / مركز صحي بعقوبة الجديدة,Primary care health sactor,Primary Health Care Center - Main,HF_CM_DLL_0,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-10 07:34:52,44.628012,33.749111
1942,Primery care health sector / مركز صحي تل صخيري,Primery care health sector,Primary Health Care Center - Branch,HF_CS_DLL_57,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-01 07:34:52,44.718572,33.527819
1945,Primery care health sector / مركز صحي ابراهيم المهدي,Primery care health sector,Primary Health Care Center - Branch,HF_CS_DLL_1,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-10 07:34:52,44.792431,33.63516
1946,Primery care health sector / مركز صحي كنعان,Primery care health sector,Primary Health Care Center - Main,HF_CM_DLL_88,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-07 07:34:52,44.799063,33.694106
1949,Primary care health sactor / مركز صحي بهرز الاول,Primary care health sactor,Primary Health Care Center - Main,HF_CM_DLL_55,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-15 07:34:52,44.646418,33.708773
1950,Primery care health sector / مركز صحي زاغنية,Primery care health sector,Primary Health Care Center - Main,HF_CM_DLL_69,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-08 07:34:52,44.64687,33.70886
1952,Primery care health sector / مركز صحي التحرير الاول,Primery care health sector,Primary Health Care Center - Main,HF_CM_DLL_5,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-07-31 07:34:52,44.651075,33.734456
1954,Primery care health sector / مركز صحي السراي,Primery care health sector,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_DLL_20,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-09 07:34:52,44.639144,33.754048
1955,Primery care health sector / مركز صحي التكية,Primery care health sector,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_DLL_7,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-10 07:34:52,44.646922,33.756278
1956,Primery care health sector / مركز صحي الهويدر,Primery care health sector,Primary Health Care Center - Main,HF_CM_DLL_47,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-09 07:34:52,44.626861,33.769333
1957,Primery care health sector / مركز صحي الحد الاخضر,Primery care health sector,Primary Health Care Center - Branch,HF_CS_DLL_10,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-09 07:34:52,44.626848,33.769337
1959,Primery care health sector  / مركز صحي خرنابات,Primery care health sector ,Primary Health Care Center - Main,HF_CM_DLL_65,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-07-27 07:34:52,44.635694,33.802472
1960,Primery care health sector / مركز صحي زهرة,Primery care health sector,Primary Health Care Center - Branch,HF_CS_DLL_71,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-09 07:34:52,44.687222,33.802717
1962,Primery care health sector  / مركز صحي حد مكسر,Primery care health sector ,Primary Health Care Center - Main,HF_CS_DLL_63,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-07-30 07:34:52,44.645167,33.843833
1963,Mobile team  / مفرزة دور المعسكر,Mobile team ,Mobile Team,HF_CS_DLL_38,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-16 07:34:52,44.673429,33.760899
1965,Mobile team  / مفرزةالمعهد التقني,Mobile team ,Mobile Team,HF_NK_DLL_4,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-07-28 07:34:52,44.648614,33.742148
1966,Mobile clinic / مفرزة الجيزاني,Mobile clinic,Mobile Team,HF_NK_DLL_5,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-13 07:34:52,44.762675,33.855924
1967,Mobile team  / مفرزة الجزائر,Mobile team ,Mobile Team,HF_NK_DLL_6,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-16 07:34:52,44.767229,33.819216
1968,Mobile team / مفرزة الباويه,Mobile team,Mobile Team,HF_NK_DLL_7,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-16 07:34:52,44.64956,33.752494
1969,Mobile team / مفرزة دوره,Mobile team,Mobile Team,HF_NK_DLL_19,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-14 07:34:52,44.702767,33.806309
1970,Mobile team / مفرزة حد مزيد,Mobile team,Mobile Team,HF_NK_DLL_20,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-14 07:34:52,44.649654,33.752487
1971,Mobile team  / مفرزة ابو خنازير,Mobile team ,Mobile Team,HF_NK_DLL_32,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-16 07:34:52,44.64945,33.752601
1972,Mobile team  / مفرزة ابو كرمه,Mobile team ,Mobile Team,HF_NK_DLL_33,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-16 07:34:52,44.576845,33.654367
1973,Mobile team / مفرزة الحديد,Mobile team,Mobile Team,HF_NK_DLL_43,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-16 07:34:52,44.650577,33.709081
1974,Mobile team / مفرزة ابو خميس,Mobile team,Mobile Team,HF_NK_DLL_44,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-15 07:34:52,44.64959,33.752315
1975,Mobile team / مفرزة النهر الكبير,Mobile team,Mobile Team,HF_NK_DLL_45,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-11 07:34:52,44.649446,33.752488
1976,Mobile team / الازدهار,Mobile team,Mobile Team,HF_NK_DLL_52,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-09 07:34:52,44.794434,33.695381
1977,Mobile team / مفرزة العكر,Mobile team,Mobile Team,HF_NK_DLL_53,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-09 07:34:52,44.649435,33.752487
1978,Mobile team  / مفرزة سجن ديالى المركزي,Mobile team ,Mobile Team,HF_NK_DLL_62,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-07-26 07:34:52,44.639324,33.740114
1979,Mobile team / فرزة سيسبانه,Mobile team,Mobile Team,HF_NK_DLL_69,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-07-28 07:34:52,44.915266,33.64022
1980,Mobile team  / مفرزة الخوير,Mobile team ,Mobile Team,HF_NK_DLL_70,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-16 07:34:52,44.798984,33.692841
1981,Mobile clinic / مفرزة البدعه,Mobile clinic,Mobile Team,HF_NK_DLL_71,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-11 07:34:52,44.774763,33.676567
2524,alsamad / العهد الجديد,alsamad,Health House,HF_HH_SLL_24,Salahuddin Health Department / Regions sector east of the Tigris River for primary health care ,Regions sector east of the Tigris River for primary health care / قطاع المناطق شرق نهر دجلة للرعاية الصحية الاولية,2022-08-02 07:34:53,43.6971024,34.7158802
2528,alsamad / الصمد,alsamad,Health House,HF_HH_SLL_42,Salahuddin Health Department / Regions sector east of the Tigris River for primary health care ,Regions sector east of the Tigris River for primary health care / قطاع المناطق شرق نهر دجلة للرعاية الصحية الاولية,2022-07-02 07:34:53,43.712626,34.7150034
3603,public health center  / العيادة الطبية الشعبية المشروع التخصصية,public health center ,Public Health Clinic,HS_ED_WAS_10,Wasit Health Department / Wasit Health Department,Wasit Health Department / دائرة صحة واسط,2022-08-07 07:34:54,45.83007,32.50216
3607,public health center  / العيادة الطبية الشعبية القدس,public health center ,Public Health Clinic,HS_ED_WAS_8,Wasit Health Department / Wasit Health Department,Wasit Health Department / دائرة صحة واسط,2022-08-02 07:34:54,45.41788,32.55028
3609,public health center  / العيادة الطبية الشعبية العزيزية,public health center ,Public Health Clinic,HS_ED_WAS_7,Wasit Health Department / Wasit Health Department,Wasit Health Department / دائرة صحة واسط,2022-08-08 07:34:54,45.06567,32.75628
3610,public health center  / العيادة الطبية الشعبية الصويرة,public health center ,Public Health Clinic,HS_ED_WAS_6,Wasit Health Department / Wasit Health Department,Wasit Health Department / دائرة صحة واسط,2022-08-05 07:34:54,44.78497,32.93113
3618,hospital / مستشفى الكوت للنسائية والاطفال,hospital,Hospital,SH_HO_WAS_7,Wasit Health Department / Wasit Health Department,Wasit Health Department / دائرة صحة واسط,2022-08-02 07:34:54,45.82667,32.50032
3619,hospital / مستشفى الكرامة,hospital,Hospital,SH_HO_WAS_6,Wasit Health Department / Wasit Health Department,Wasit Health Department / دائرة صحة واسط,2022-07-25 07:34:54,45.85065,32.51623
3622,hospital / مستشفى النعمانية,hospital,Hospital,SH_HO_WAS_8,Wasit Health Department / Wasit Health Department,Wasit Health Department / دائرة صحة واسط,2022-08-03 07:34:54,45.41788,32.55028
3623,hospital / مستشفى الحاج جلال للولادة,hospital,Hospital,SH_HO_WAS_1,Wasit Health Department / Wasit Health Department,Wasit Health Department / دائرة صحة واسط,2022-08-03 07:34:54,45.41277,32.55135
