,MoSD2,MoSD2en,MoSD3,MoSD1,GEO1,workspace_id,date,MoSDGPS_SQ002,MoSDGPS_SQ001,MoSDPOP
182,Km7 Health Center / مركز صحي السبعة كيلو بديل,Km7 Health Center,Primary Health Care Center - Branch,HF_CS_ABB_71,Anbar Health Department / Ramadi first  sector for primary health care ,Ramadi first  sector for primary health care / قطاع الرمادي الاول للرعاية الصحية الاولية,2022-07-20 07:34:50,43.191932,33.414791,64000.0
211,Alsoraa health center  / مركز صحي السورة والصوفية,Alsoraa health center ,Primary Health Care Center - Main,HF_CM_ABB_77,Anbar Health Department / Ramadi second sector for primary health care ,Ramadi second sector for primary health care / قطاع الرمادي الثاني للرعاية الصحية الاولية,2022-07-26 07:34:50,43.531121,33.4535329,45000.0
241,ALAmriya main  health center / مركز صحي العامرية الرئيسي,ALAmriya main  health center,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_ABB_95,Anbar Health Department / Alfares alarabi Primary Health Care Sector ,Alfares alarabi Primary Health Care Sector / قطاع الفارس العربي للرعاية الصحية الاولية,2022-08-13 07:34:50,43.858231,33.179619,45000.0
255,Chest and Respiratory Diseases unit / وحدة الامراض الصدرية والتنفسية بديل,Chest and Respiratory Diseases unit,Chest and Respiratory Diseases Unit,HF_CM_ABB_139,Anbar Health Department / Alfares alarabi Primary Health Care Sector ,Alfares alarabi Primary Health Care Sector / قطاع الفارس العربي للرعاية الصحية الاولية,2022-08-10 07:34:50,43.862954,33.163926,168819.0
261,Jubayl primary Health Center / مركز صحي جبيل,Jubayl primary Health Center,Primary Health Care Center - Main,HF_CM_ABB_148,Anbar Health Department / Fallujah Primary Health Care Sector ,Fallujah Primary Health Care Sector / قطاع الفلوجة للرعاية الصحية الاولية,2022-07-20 07:34:50,43.775839,33.334491,48360.0
263,al-cement primary health center / مركز صحي السمنت,al-cement primary health center,Primary Health Care Center - Main,HF_CM_ABB_9,Anbar Health Department / Fallujah Primary Health Care Sector ,Fallujah Primary Health Care Sector / قطاع الفلوجة للرعاية الصحية الاولية,2022-07-25 07:34:50,43.804397,33.363079,55800.0
264,Al-Shuhada' primary health center  / مركز صحي الشهداء,Al-Shuhada' primary health center ,Primary Health Care Center - Main,HF_CM_ABB_79,Anbar Health Department / Fallujah Primary Health Care Sector ,Fallujah Primary Health Care Sector / قطاع الفلوجة للرعاية الصحية الاولية,2022-07-21 07:34:50,43.792726,33.332729,52000.0
267,Al-jawlan primary health center / مركز صحي الجولان,Al-jawlan primary health center,Primary Health Care Center - Main,HF_CM_ABB_45,Anbar Health Department / Fallujah Primary Health Care Sector ,Fallujah Primary Health Care Sector / قطاع الفلوجة للرعاية الصحية الاولية,2022-07-23 07:34:50,43.771185,33.363874,52079.0
284,Primary health center alkarabla / مركز صحي الكرابلة,Primary health center alkarabla,Primary Health Care Center - Branch,HF_CM_ABB_109,Anbar Health Department / Al qaaem primary health care sector ,Al qaaem primary health care sector / قطاع القائم للرعاية الصحية الاولية,2022-07-21 07:34:50,41.03484041,34.3841872,45609.0
299,Primary health center alkarabla in shohadaa area / مركز صحي الكرابلة في حي الشهداء,Primary health center alkarabla in shohadaa area,Primary Health Care Center - Main,HF_CM_ABB_127,Anbar Health Department / Al qaaem primary health care sector ,Al qaaem primary health care sector / قطاع القائم للرعاية الصحية الاولية,2022-07-22 07:34:50,41.0590681,34.3731115,45609.0
323,Al-karma  health center  / مركز صحي الكرمة النموذجي,Al-karma  health center ,Primary Health Care Center - Main,HF_CM_ABB_101,Anbar Health Department / AlKarma Primary Health Care Sector ,AlKarma Primary Health Care Sector / قطاع الكرمة للرعاية الصحية الاولية,2022-07-24 07:34:50,43.9051,33.40289,51427.0
334,Hadithah health center / مركز صحي حديثة,Hadithah health center,Primary Health Care Center - Main,HF_CM_ABB_151,Anbar Health Department / Modern Primary Health Care Sector ,Modern Primary Health Care Sector / قطاع حديثة للرعاية الصحية الاولية,2022-07-23 07:34:50,42.382926,34.130757,47943.0
387,Al rutba health center / مركز صحي الرطبة,Al rutba health center,Primary Health Care Center - Main,HF_CM_ABB_64,Anbar Health Department / Rutba sector for primary health care,Rutba sector for primary health care / قطاع الرطبة  للرعاية الصحية الاولية,2022-08-01 07:34:50,40.2942625,33.0370005,43538.0
473,altaamim / مركز التاميم,altaamim,Primary Health Care Center - Main,HF_CM_BSS_6,Basra Health Department / The third sector of primary health care ,The third sector of primary health care / القطاع الثالث للرعاية الصحية الاولية,2022-07-29 07:34:50,47.772544,30.50228,43964.0
481,Al Qibla healthcenter / مركز صحي القبلة,Al Qibla healthcenter,Primary Health Care Center - Main,HF_CM_BSS_88,Basra Health Department / First sector Primary health care  ,First sector Primary health care  / قطاع الاول للرعاية الصحية الاولية,2022-07-27 07:34:50,47.80036,30.447379,51103.0
483,Al Qaim center / مركز صحي حي القائم,Al Qaim center,Primary Health Care Center - Main,HF_CM_BSS_118,Basra Health Department / First sector Primary health care  ,First sector Primary health care  / قطاع الاول للرعاية الصحية الاولية,2022-08-01 07:34:50,47.815872,30.469286,49749.0
485,Al Mutaha center / مركز صحي المطيحة,Al Mutaha center,Primary Health Care Center - Main,HF_CM_BSS_96,Basra Health Department / First sector Primary health care  ,First sector Primary health care  / قطاع الاول للرعاية الصحية الاولية,2022-08-03 07:34:50,47.831263,30.481535,45011.0
489,al seef center / مركز صحي السيف,al seef center,Primary Health Care Center - Main,HF_CM_BSS_75,Basra Health Department / First sector Primary health care  ,First sector Primary health care  / قطاع الاول للرعاية الصحية الاولية,2022-07-24 07:34:50,47.817972,30.498932,39901.0
508,ALnahda Health center / مركز صحي النهضة,ALnahda Health center,Primary Health Care Center - Main,HF_CM_BSS_103,Basra Health Department / Second sector of primary health care ,Second sector of primary health care / قطاع الثاني للرعاية الصحية الأولية,2022-07-25 07:34:51,47.766688,30.544949,41269.0
510,ALmaqal Health Center / مركز صحي المعقل,ALmaqal Health Center,Primary Health Care Center - Main,HF_CM_BSS_97,Basra Health Department / Second sector of primary health care ,Second sector of primary health care / قطاع الثاني للرعاية الصحية الأولية,2022-07-24 07:34:51,47.774654,30.55533,54714.0
518,Al Dare Section / قطاع الدير للرعاية الصحية الاولية, Al Dare Section,Health Sector,HS_HM_SS_BSS_12,Basra Health Department / Al-Dair sector for primary health care ,Al-Dair sector for primary health care / قطاع الدير للرعاية الصحية الاولية,2022-08-11 07:34:51,47.568531,30.810471,140542.0
521,Al Dare Health be center / مركز الدير.   مركز الدير ر ص ا,Al Dare Health be center,Primary Health Care Center - Main,HF_CM_BSS_12,Basra Health Department / Al-Dair sector for primary health care ,Al-Dair sector for primary health care / قطاع الدير للرعاية الصحية الاولية,2022-07-25 07:34:51,47.575273,30.801598,42228.0
537,shuhada'a alentifadha / مركز صحي شهداء الانتفاضة,shuhada'a alentifadha,Primary Health Care Center - Main,HF_CM_BSS_127,Basra Health Department / Zubair Primary Health Care Sector ,Zubair Primary Health Care Sector / قطاع الزبير للرعاية الصحية الأولية,2022-08-23 07:34:51,47.913034,30.038723,61962.0
539,safwan / مركز صحي سفوان,safwan,Primary Health Care Center - Main,HF_CM_BSS_123,Basra Health Department / Zubair Primary Health Care Sector ,Zubair Primary Health Care Sector / قطاع الزبير للرعاية الصحية الأولية,2022-08-24 07:34:51,47.717777,30.112322,64776.0
541,khor alzubair / مركز صحي خور الزبير,khor alzubair,Primary Health Care Center - Main,HF_CM_BSS_121,Basra Health Department / Zubair Primary Health Care Sector ,Zubair Primary Health Care Sector / قطاع الزبير للرعاية الصحية الأولية,2022-08-23 07:34:51,47.779534,30.226328,65365.0
543,alansar / مركز صحي الانصار,alansar,Primary Health Care Center - Main,HF_CM_BSS_41,Basra Health Department / Zubair Primary Health Care Sector ,Zubair Primary Health Care Sector / قطاع الزبير للرعاية الصحية الأولية,2022-08-14 07:34:51,47.720281,30.365376,50000.0
544,Alrehma / مركز صحي الرحمة,Alrehma,Primary Health Care Center - Main,HF_CM_BSS_69,Basra Health Department / Zubair Primary Health Care Sector ,Zubair Primary Health Care Sector / قطاع الزبير للرعاية الصحية الأولية,2022-07-26 07:34:51,47.720655,30.369965,38604.0
545,almirbad / مركز صحي المربد,almirbad,Primary Health Care Center - Main,HF_CM_BSS_94,Basra Health Department / Zubair Primary Health Care Sector ,Zubair Primary Health Care Sector / قطاع الزبير للرعاية الصحية الأولية,2022-07-27 07:34:51,47.680585,30.382778,63454.0
547,alshifa'a / مركز صحي الشفاء,alshifa'a,Primary Health Care Center - Main,HF_CM_BSS_78,Basra Health Department / Zubair Primary Health Care Sector ,Zubair Primary Health Care Sector / قطاع الزبير للرعاية الصحية الأولية,2022-08-03 07:34:51,47.72777,30.384936,43838.0
548,alhasa. albasri / مركز صحي الحسن البصري,alhasa. albasri,Primary Health Care Center - Main,HF_CM_BSS_59,Basra Health Department / Zubair Primary Health Care Sector ,Zubair Primary Health Care Sector / قطاع الزبير للرعاية الصحية الأولية,2022-08-11 07:34:51,47.697532,30.388419,46056.0
549,albatin / مركز صحي الباطن,albatin,Primary Health Care Center - Main,HF_CM_BSS_45,Basra Health Department / Zubair Primary Health Care Sector ,Zubair Primary Health Care Sector / قطاع الزبير للرعاية الصحية الأولية,2022-08-21 07:34:51,47.702462,30.391941,42238.0
550,alaqeel / مركز صحي العقيل,alaqeel,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_BSS_84,Basra Health Department / Zubair Primary Health Care Sector ,Zubair Primary Health Care Sector / قطاع الزبير للرعاية الصحية الأولية,2022-08-01 07:34:51,47.710083,30.394177,50000.0
551,alhaj khudhayer / مركز صحي الحاج خضير,alhaj khudhayer,Primary Health Care Center - Main,HF_CM_BSS_58,Basra Health Department / Zubair Primary Health Care Sector ,Zubair Primary Health Care Sector / قطاع الزبير للرعاية الصحية الأولية,2022-08-01 07:34:51,47.693358,30.397733,44000.0
552,alshuayba / مركز صحي الشعيبة,alshuayba,Primary Health Care Center - Main,HF_CM_BSS_77,Basra Health Department / Zubair Primary Health Care Sector ,Zubair Primary Health Care Sector / قطاع الزبير للرعاية الصحية الأولية,2022-08-21 07:34:51,47.679139,30.430494,40000.0
609,Abi sakhir center / مركز صحي أبي صخير,Abi sakhir center,Primary Health Care Center - Main,HF_CM_BSS_110,Basra Health Department / Al-Hartha Primary Health Care Sector ,Al-Hartha Primary Health Care Sector / قطاع الهارثة للرعاية الصحية الأولية,2022-08-14 07:34:51,47.736278,30.560111,61521.0
610,alhartha center / مركز صحي الهارثة,alhartha center,Primary Health Care Center - Main,HF_CM_BSS_105,Basra Health Department / Al-Hartha Primary Health Care Sector ,Al-Hartha Primary Health Care Sector / قطاع الهارثة للرعاية الصحية الأولية,2022-07-21 07:34:51,47.760043,30.584942,98619.0
628,Abu alkhasib / مركز صحي أبي الخصيب,Abu alkhasib,Primary Health Care Center - Main,HF_CM_BSS_109,Basra Health Department / Abi Al-Khaseeb Primary Health Care Sector ,Abi Al-Khaseeb Primary Health Care Sector / قطاع أبي الخصيب للرعاية الصحية الأولية,2022-07-26 07:34:51,47.989728,30.449534,55277.0
